name,uid,code,shortName,description,formName,domainType,type,numberType,textType,aggregationType,categoryComboUid,url,zeroIsSignificant
MOH 731 Tested_<1,,HV01-01,MOH 731 Tested_<1,Tested_<1,Tested_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_1-9,,HV01-02,MOH 731 Tested_1-9,Tested_1-9,Tested_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_10-14(M) ,,HV01-03,MOH 731 Tested_10-14(M) ,Tested_10-14(M) ,Tested_10-14(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_15-19(M) ,,HV01-05,MOH 731 Tested_15-19(M) ,Tested_15-19(M) ,Tested_15-19(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_20-24(M) ,,HV01-07,MOH 731 Tested_20-24(M) ,Tested_20-24(M) ,Tested_20-24(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_25+(M) ,,HV01-09,MOH 731 Tested_25+(M) ,Tested_25+(M) ,Tested_25+(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_10-14(F),,HV01-04,MOH 731 Tested_10-14(F),Tested_10-14(F),Tested_10-14(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_15-19(F),,HV01-06,MOH 731 Tested_15-19(F),Tested_15-19(F),Tested_15-19(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_20-24(F),,HV01-08,MOH 731 Tested_20-24(F),Tested_20-24(F),Tested_20-24(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_25+(F),,HV01-10,MOH 731 Tested_25+(F),Tested_25+(F),Tested_25+(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_Facility,,HV01-12,MOH 731 Tested_Facility,Tested_Facility,Tested_Facility,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_Community,,HV01-13,MOH 731 Tested_Community,Tested_Community,Tested_Community,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_New,,HV01-14,MOH 731 Tested_New,Tested_New,Tested_New,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_Repeat,,HV01-15,MOH 731 Tested_Repeat,Tested_Repeat,Tested_Repeat,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_Couples,,HV01-16,MOH 731 Tested_Couples,Tested_Couples,Tested_Couples,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Tested_KeyPop,,HV01-17,MOH 731 Tested_KeyPop,Tested_KeyPop,Tested_KeyPop,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_<1,,HV01-18,MOH 731  Positive_<1, Positive_<1, Positive_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_1-9,,HV01-19,MOH 731  Positive_1-9, Positive_1-9, Positive_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_10-14(M) ,,HV01-20,MOH 731  Positive_10-14(M) , Positive_10-14(M) , Positive_10-14(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_15-19(M) ,,HV01-22,MOH 731  Positive_15-19(M) , Positive_15-19(M) , Positive_15-19(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_20-24(M) ,,HV01-24,MOH 731  Positive_20-24(M) , Positive_20-24(M) , Positive_20-24(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_25+(M) ,,HV01-26,MOH 731  Positive_25+(M) , Positive_25+(M) , Positive_25+(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_10-14(F),,HV01-21,MOH 731  Positive_10-14(F), Positive_10-14(F), Positive_10-14(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_15-19(F),,HV01-23,MOH 731  Positive_15-19(F), Positive_15-19(F), Positive_15-19(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_20-24(F),,HV01-25,MOH 731  Positive_20-24(F), Positive_20-24(F), Positive_20-24(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_25+(F),,HV01-27,MOH 731  Positive_25+(F), Positive_25+(F), Positive_25+(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Negative_Total,,HV01-29,MOH 731  Negative_Total, Negative_Total, Negative_Total,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Discordant,,HV01-30,MOH 731  Discordant, Discordant, Discordant,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Positive_KeyPop,,HV01-31,MOH 731  Positive_KeyPop, Positive_KeyPop, Positive_KeyPop,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Linked_<1 yrs,,HV01-32,MOH 731  Linked_<1 yrs, Linked_<1 yrs, Linked_<1 yrs,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Linked_1-9 yrs,,HV01-33,MOH 731  Linked_1-9 yrs, Linked_1-9 yrs, Linked_1-9 yrs,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Linked_10-14,,HV01-34,MOH 731  Linked_10-14, Linked_10-14, Linked_10-14,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Linked_15-19,,HV01-35,MOH 731  Linked_15-19, Linked_15-19, Linked_15-19,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Linked_20-24,,HV01-36,MOH 731  Linked_20-24, Linked_20-24, Linked_20-24,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731  Linked_25+,,HV01-37,MOH 731  Linked_25+, Linked_25+, Linked_25+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Prep Eligible_New,,HV01-39,MOH 731 Prep Eligible_New,Prep Eligible_New,Prep Eligible_New,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 PreP Start_New,,HV01-40,MOH 731 PreP Start_New,PreP Start_New,PreP Start_New,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Prep_Current,,HV01-41,MOH 731 Prep_Current,Prep_Current,Prep_Current,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Prep_stopped,,HV01-42,MOH 731 Prep_stopped,Prep_stopped,Prep_stopped,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 1st ANC Visits,,HV02-01,MOH 731 1st ANC Visits,1st ANC Visits,1st ANC Visits,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Delivery from HIV+ mothers,,HV02-02,MOH 731 Delivery from HIV+ mothers,Delivery from HIV+ mothers,Delivery from HIV+ mothers,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Known Positive at 1st  ANC(HV02-03),,HV02-03,MOH 731 Known Positive at 1st  ANC(HV02-03),Known Positive at 1st  ANC(HV02-03),Known Positive at 1st  ANC(HV02-03),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial test at ANC,,HV02-04,MOH 731 Initial test at ANC,Initial test at ANC,Initial test at ANC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial test at L&D,,HV02-05,MOH 731 Initial test at L&D,Initial test at L&D,Initial test at L&D,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial test at PNC_PNC<=6wks,,HV02-06,MOH 731 Initial test at PNC_PNC<=6wks,Initial test at PNC_PNC<=6wks,Initial test at PNC_PNC<=6wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Known HIV Status_Total,,HV02-07,MOH 731 Known HIV Status_Total,Known HIV Status_Total,Known HIV Status_Total,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Retesting_PNC<= 6 weeks,,HV02-08,MOH 731 Retesting_PNC<= 6 weeks,Retesting_PNC<= 6 weeks,Retesting_PNC<= 6 weeks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Known Positive at 1st  ANC(HV02-09),,HV02-09,MOH 731 Known Positive at 1st  ANC(HV02-09),Known Positive at 1st  ANC(HV02-09),Known Positive at 1st  ANC(HV02-09),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive Results_ANC,,HV02-10,MOH 731 Positive Results_ANC,Positive Results_ANC,Positive Results_ANC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive Results _L&D,,HV02-11,MOH 731 Positive Results _L&D,Positive Results _L&D,Positive Results _L&D,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Positive Results_PNC<=6wks,,HV02-12,MOH 731 Positive Results_PNC<=6wks,Positive Results_PNC<=6wks,Positive Results_PNC<=6wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On HAART at 1st ANC,,HV02-14,MOH 731 On HAART at 1st ANC,On HAART at 1st ANC,On HAART at 1st ANC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start HAART_ANC,,HV02-15,MOH 731 Start HAART_ANC,Start HAART_ANC,Start HAART_ANC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start HAART_L&D,,HV02-16,MOH 731 Start HAART_L&D,Start HAART_L&D,Start HAART_L&D,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start HAART_PNC<=6wks,,HV02-17,MOH 731 Start HAART_PNC<=6wks,Start HAART_PNC<=6wks,Start HAART_PNC<=6wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On maternal HAART_Total ,,HV02-18,MOH 731 On maternal HAART_Total ,On maternal HAART_Total ,On maternal HAART_Total ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On maternal HAART_12mths,,HV02-19,MOH 731 On maternal HAART_12mths,On maternal HAART_12mths,On maternal HAART_12mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Net Cohort_12 mths,,HV02-20,MOH 731 Net Cohort_12 mths,Net Cohort_12 mths,Net Cohort_12 mths,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Syphilis Screened_1st ANC,,HV02-21,MOH 731 Syphilis Screened_1st ANC,Syphilis Screened_1st ANC,Syphilis Screened_1st ANC,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Syphilis Screened_Positive,,HV02-22,MOH 731 Syphilis Screened_Positive,Syphilis Screened_Positive,Syphilis Screened_Positive,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Syphilis_Treated,,HV02-23,MOH 731 Syphilis_Treated,Syphilis_Treated,Syphilis_Treated,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 HIV+ On Modern FP_at 6wks,,HV02-24,MOH 731 HIV+ On Modern FP_at 6wks,HIV+ On Modern FP_at 6wks,HIV+ On Modern FP_at 6wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 HIV+_PNC Visits_at 6wks,,HV02-25,MOH 731 HIV+_PNC Visits_at 6wks,HIV+_PNC Visits_at 6wks,HIV+_PNC Visits_at 6wks,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Known Status_1st Contact,,HV02-26,MOH 731 Known Status_1st Contact,Known Status_1st Contact,Known Status_1st Contact,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial test at ANC_Male,,HV02-27,MOH 731 Initial test at ANC_Male,Initial test at ANC_Male,Initial test at ANC_Male,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Initial test at PNC_Male,,HV02-28,MOH 731 Initial test at PNC_Male,Initial test at PNC_Male,Initial test at PNC_Male,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
